"","Clade","Subtype"
"CladeA","CladeA","A_denovo139"
"CladeA","CladeA","A_denovo25"
"CladeA","CladeA","A_denovo281"
"CladeA","CladeA","A_denovo432"
"CladeA","CladeA","A_denovo441"
"CladeA","CladeA","A_denovo569"
"CladeA","CladeA","A_denovo633"
"CladeA","CladeA","A_denovo68"
"CladeA","CladeA","A_denovo683"
"CladeA","CladeA","A_denovo762"
"CladeA","CladeA","A_denovo768"
"CladeA","CladeA","A_denovo839"
"CladeA","CladeA","A_denovo92"
"CladeA","CladeA","A_I:45"
"CladeA","CladeA","A_I:48"
"CladeA","CladeA","A_I:50"
"CladeA","CladeA","A_I:51"
"CladeA","CladeA","A_I:55"
"CladeA","CladeA","A121"
"CladeA","CladeA","A133"
"CladeA","CladeA","A134"
"CladeA","CladeA","A16"
"CladeA","CladeA","A7"
"CladeA","CladeA","A8"
"CladeC","CladeC","C_denovo1"
"CladeC","CladeC","C_denovo10"
"CladeC","CladeC","C_denovo100"
"CladeC","CladeC","C_denovo101"
"CladeC","CladeC","C_denovo102"
"CladeC","CladeC","C_denovo103"
"CladeC","CladeC","C_denovo104"
"CladeC","CladeC","C_denovo105"
"CladeC","CladeC","C_denovo106"
"CladeC","CladeC","C_denovo107"
"CladeC","CladeC","C_denovo108"
"CladeC","CladeC","C_denovo109"
"CladeC","CladeC","C_denovo11"
"CladeC","CladeC","C_denovo110"
"CladeC","CladeC","C_denovo111"
"CladeC","CladeC","C_denovo112"
"CladeC","CladeC","C_denovo113"
"CladeC","CladeC","C_denovo115"
"CladeC","CladeC","C_denovo116"
"CladeC","CladeC","C_denovo117"
"CladeC","CladeC","C_denovo118"
"CladeC","CladeC","C_denovo119"
"CladeC","CladeC","C_denovo12"
"CladeC","CladeC","C_denovo120"
"CladeC","CladeC","C_denovo121"
"CladeC","CladeC","C_denovo122"
"CladeC","CladeC","C_denovo123"
"CladeC","CladeC","C_denovo124"
"CladeC","CladeC","C_denovo125"
"CladeC","CladeC","C_denovo126"
"CladeC","CladeC","C_denovo127"
"CladeC","CladeC","C_denovo128"
"CladeC","CladeC","C_denovo129"
"CladeC","CladeC","C_denovo130"
"CladeC","CladeC","C_denovo131"
"CladeC","CladeC","C_denovo132"
"CladeC","CladeC","C_denovo133"
"CladeC","CladeC","C_denovo134"
"CladeC","CladeC","C_denovo135"
"CladeC","CladeC","C_denovo136"
"CladeC","CladeC","C_denovo137"
"CladeC","CladeC","C_denovo138"
"CladeC","CladeC","C_denovo14"
"CladeC","CladeC","C_denovo140"
"CladeC","CladeC","C_denovo141"
"CladeC","CladeC","C_denovo143"
"CladeC","CladeC","C_denovo144"
"CladeC","CladeC","C_denovo145"
"CladeC","CladeC","C_denovo146"
"CladeC","CladeC","C_denovo147"
"CladeC","CladeC","C_denovo148"
"CladeC","CladeC","C_denovo149"
"CladeC","CladeC","C_denovo15"
"CladeC","CladeC","C_denovo150"
"CladeC","CladeC","C_denovo151"
"CladeC","CladeC","C_denovo152"
"CladeC","CladeC","C_denovo153"
"CladeC","CladeC","C_denovo154"
"CladeC","CladeC","C_denovo155"
"CladeC","CladeC","C_denovo156"
"CladeC","CladeC","C_denovo157"
"CladeC","CladeC","C_denovo158"
"CladeC","CladeC","C_denovo159"
"CladeC","CladeC","C_denovo16"
"CladeC","CladeC","C_denovo160"
"CladeC","CladeC","C_denovo161"
"CladeC","CladeC","C_denovo162"
"CladeC","CladeC","C_denovo163"
"CladeC","CladeC","C_denovo164"
"CladeC","CladeC","C_denovo165"
"CladeC","CladeC","C_denovo166"
"CladeC","CladeC","C_denovo167"
"CladeC","CladeC","C_denovo169"
"CladeC","CladeC","C_denovo17"
"CladeC","CladeC","C_denovo170"
"CladeC","CladeC","C_denovo171"
"CladeC","CladeC","C_denovo172"
"CladeC","CladeC","C_denovo173"
"CladeC","CladeC","C_denovo174"
"CladeC","CladeC","C_denovo175"
"CladeC","CladeC","C_denovo176"
"CladeC","CladeC","C_denovo177"
"CladeC","CladeC","C_denovo178"
"CladeC","CladeC","C_denovo179"
"CladeC","CladeC","C_denovo18"
"CladeC","CladeC","C_denovo180"
"CladeC","CladeC","C_denovo181"
"CladeC","CladeC","C_denovo182"
"CladeC","CladeC","C_denovo183"
"CladeC","CladeC","C_denovo184"
"CladeC","CladeC","C_denovo185"
"CladeC","CladeC","C_denovo186"
"CladeC","CladeC","C_denovo187"
"CladeC","CladeC","C_denovo188"
"CladeC","CladeC","C_denovo189"
"CladeC","CladeC","C_denovo19"
"CladeC","CladeC","C_denovo190"
"CladeC","CladeC","C_denovo191"
"CladeC","CladeC","C_denovo192"
"CladeC","CladeC","C_denovo193"
"CladeC","CladeC","C_denovo194"
"CladeC","CladeC","C_denovo195"
"CladeC","CladeC","C_denovo196"
"CladeC","CladeC","C_denovo197"
"CladeC","CladeC","C_denovo198"
"CladeC","CladeC","C_denovo199"
"CladeC","CladeC","C_denovo2"
"CladeC","CladeC","C_denovo20"
"CladeC","CladeC","C_denovo200"
"CladeC","CladeC","C_denovo201"
"CladeC","CladeC","C_denovo202"
"CladeC","CladeC","C_denovo203"
"CladeC","CladeC","C_denovo204"
"CladeC","CladeC","C_denovo205"
"CladeC","CladeC","C_denovo206"
"CladeC","CladeC","C_denovo207"
"CladeC","CladeC","C_denovo208"
"CladeC","CladeC","C_denovo209"
"CladeC","CladeC","C_denovo21"
"CladeC","CladeC","C_denovo210"
"CladeC","CladeC","C_denovo211"
"CladeC","CladeC","C_denovo212"
"CladeC","CladeC","C_denovo213"
"CladeC","CladeC","C_denovo214"
"CladeC","CladeC","C_denovo215"
"CladeC","CladeC","C_denovo216"
"CladeC","CladeC","C_denovo217"
"CladeC","CladeC","C_denovo218"
"CladeC","CladeC","C_denovo219"
"CladeC","CladeC","C_denovo22"
"CladeC","CladeC","C_denovo220"
"CladeC","CladeC","C_denovo221"
"CladeC","CladeC","C_denovo222"
"CladeC","CladeC","C_denovo223"
"CladeC","CladeC","C_denovo224"
"CladeC","CladeC","C_denovo225"
"CladeC","CladeC","C_denovo226"
"CladeC","CladeC","C_denovo228"
"CladeC","CladeC","C_denovo229"
"CladeC","CladeC","C_denovo23"
"CladeC","CladeC","C_denovo230"
"CladeC","CladeC","C_denovo231"
"CladeC","CladeC","C_denovo232"
"CladeC","CladeC","C_denovo233"
"CladeC","CladeC","C_denovo234"
"CladeC","CladeC","C_denovo235"
"CladeC","CladeC","C_denovo236"
"CladeC","CladeC","C_denovo237"
"CladeC","CladeC","C_denovo238"
"CladeC","CladeC","C_denovo239"
"CladeC","CladeC","C_denovo24"
"CladeC","CladeC","C_denovo240"
"CladeC","CladeC","C_denovo241"
"CladeC","CladeC","C_denovo242"
"CladeC","CladeC","C_denovo243"
"CladeC","CladeC","C_denovo244"
"CladeC","CladeC","C_denovo245"
"CladeC","CladeC","C_denovo246"
"CladeC","CladeC","C_denovo247"
"CladeC","CladeC","C_denovo248"
"CladeC","CladeC","C_denovo249"
"CladeC","CladeC","C_denovo250"
"CladeC","CladeC","C_denovo251"
"CladeC","CladeC","C_denovo252"
"CladeC","CladeC","C_denovo253"
"CladeC","CladeC","C_denovo254"
"CladeC","CladeC","C_denovo255"
"CladeC","CladeC","C_denovo256"
"CladeC","CladeC","C_denovo257"
"CladeC","CladeC","C_denovo258"
"CladeC","CladeC","C_denovo259"
"CladeC","CladeC","C_denovo26"
"CladeC","CladeC","C_denovo260"
"CladeC","CladeC","C_denovo261"
"CladeC","CladeC","C_denovo262"
"CladeC","CladeC","C_denovo263"
"CladeC","CladeC","C_denovo264"
"CladeC","CladeC","C_denovo265"
"CladeC","CladeC","C_denovo266"
"CladeC","CladeC","C_denovo267"
"CladeC","CladeC","C_denovo268"
"CladeC","CladeC","C_denovo269"
"CladeC","CladeC","C_denovo27"
"CladeC","CladeC","C_denovo270"
"CladeC","CladeC","C_denovo272"
"CladeC","CladeC","C_denovo274"
"CladeC","CladeC","C_denovo275"
"CladeC","CladeC","C_denovo276"
"CladeC","CladeC","C_denovo277"
"CladeC","CladeC","C_denovo278"
"CladeC","CladeC","C_denovo279"
"CladeC","CladeC","C_denovo28"
"CladeC","CladeC","C_denovo280"
"CladeC","CladeC","C_denovo282"
"CladeC","CladeC","C_denovo283"
"CladeC","CladeC","C_denovo284"
"CladeC","CladeC","C_denovo285"
"CladeC","CladeC","C_denovo286"
"CladeC","CladeC","C_denovo287"
"CladeC","CladeC","C_denovo288"
"CladeC","CladeC","C_denovo289"
"CladeC","CladeC","C_denovo29"
"CladeC","CladeC","C_denovo290"
"CladeC","CladeC","C_denovo291"
"CladeC","CladeC","C_denovo292"
"CladeC","CladeC","C_denovo293"
"CladeC","CladeC","C_denovo295"
"CladeC","CladeC","C_denovo296"
"CladeC","CladeC","C_denovo297"
"CladeC","CladeC","C_denovo298"
"CladeC","CladeC","C_denovo299"
"CladeC","CladeC","C_denovo3"
"CladeC","CladeC","C_denovo30"
"CladeC","CladeC","C_denovo300"
"CladeC","CladeC","C_denovo302"
"CladeC","CladeC","C_denovo303"
"CladeC","CladeC","C_denovo304"
"CladeC","CladeC","C_denovo305"
"CladeC","CladeC","C_denovo306"
"CladeC","CladeC","C_denovo307"
"CladeC","CladeC","C_denovo308"
"CladeC","CladeC","C_denovo309"
"CladeC","CladeC","C_denovo31"
"CladeC","CladeC","C_denovo310"
"CladeC","CladeC","C_denovo311"
"CladeC","CladeC","C_denovo312"
"CladeC","CladeC","C_denovo313"
"CladeC","CladeC","C_denovo314"
"CladeC","CladeC","C_denovo316"
"CladeC","CladeC","C_denovo317"
"CladeC","CladeC","C_denovo318"
"CladeC","CladeC","C_denovo319"
"CladeC","CladeC","C_denovo32"
"CladeC","CladeC","C_denovo320"
"CladeC","CladeC","C_denovo321"
"CladeC","CladeC","C_denovo322"
"CladeC","CladeC","C_denovo323"
"CladeC","CladeC","C_denovo324"
"CladeC","CladeC","C_denovo325"
"CladeC","CladeC","C_denovo326"
"CladeC","CladeC","C_denovo327"
"CladeC","CladeC","C_denovo328"
"CladeC","CladeC","C_denovo329"
"CladeC","CladeC","C_denovo33"
"CladeC","CladeC","C_denovo330"
"CladeC","CladeC","C_denovo331"
"CladeC","CladeC","C_denovo332"
"CladeC","CladeC","C_denovo333"
"CladeC","CladeC","C_denovo334"
"CladeC","CladeC","C_denovo336"
"CladeC","CladeC","C_denovo337"
"CladeC","CladeC","C_denovo338"
"CladeC","CladeC","C_denovo339"
"CladeC","CladeC","C_denovo34"
"CladeC","CladeC","C_denovo340"
"CladeC","CladeC","C_denovo341"
"CladeC","CladeC","C_denovo342"
"CladeC","CladeC","C_denovo343"
"CladeC","CladeC","C_denovo344"
"CladeC","CladeC","C_denovo345"
"CladeC","CladeC","C_denovo347"
"CladeC","CladeC","C_denovo348"
"CladeC","CladeC","C_denovo349"
"CladeC","CladeC","C_denovo35"
"CladeC","CladeC","C_denovo350"
"CladeC","CladeC","C_denovo351"
"CladeC","CladeC","C_denovo352"
"CladeC","CladeC","C_denovo353"
"CladeC","CladeC","C_denovo354"
"CladeC","CladeC","C_denovo355"
"CladeC","CladeC","C_denovo356"
"CladeC","CladeC","C_denovo357"
"CladeC","CladeC","C_denovo358"
"CladeC","CladeC","C_denovo359"
"CladeC","CladeC","C_denovo36"
"CladeC","CladeC","C_denovo360"
"CladeC","CladeC","C_denovo361"
"CladeC","CladeC","C_denovo362"
"CladeC","CladeC","C_denovo363"
"CladeC","CladeC","C_denovo364"
"CladeC","CladeC","C_denovo365"
"CladeC","CladeC","C_denovo366"
"CladeC","CladeC","C_denovo367"
"CladeC","CladeC","C_denovo368"
"CladeC","CladeC","C_denovo37"
"CladeC","CladeC","C_denovo370"
"CladeC","CladeC","C_denovo371"
"CladeC","CladeC","C_denovo372"
"CladeC","CladeC","C_denovo373"
"CladeC","CladeC","C_denovo374"
"CladeC","CladeC","C_denovo375"
"CladeC","CladeC","C_denovo376"
"CladeC","CladeC","C_denovo377"
"CladeC","CladeC","C_denovo378"
"CladeC","CladeC","C_denovo379"
"CladeC","CladeC","C_denovo38"
"CladeC","CladeC","C_denovo380"
"CladeC","CladeC","C_denovo381"
"CladeC","CladeC","C_denovo382"
"CladeC","CladeC","C_denovo383"
"CladeC","CladeC","C_denovo384"
"CladeC","CladeC","C_denovo385"
"CladeC","CladeC","C_denovo386"
"CladeC","CladeC","C_denovo387"
"CladeC","CladeC","C_denovo388"
"CladeC","CladeC","C_denovo389"
"CladeC","CladeC","C_denovo39"
"CladeC","CladeC","C_denovo390"
"CladeC","CladeC","C_denovo391"
"CladeC","CladeC","C_denovo392"
"CladeC","CladeC","C_denovo393"
"CladeC","CladeC","C_denovo394"
"CladeC","CladeC","C_denovo395"
"CladeC","CladeC","C_denovo396"
"CladeC","CladeC","C_denovo397"
"CladeC","CladeC","C_denovo398"
"CladeC","CladeC","C_denovo399"
"CladeC","CladeC","C_denovo4"
"CladeC","CladeC","C_denovo40"
"CladeC","CladeC","C_denovo400"
"CladeC","CladeC","C_denovo401"
"CladeC","CladeC","C_denovo402"
"CladeC","CladeC","C_denovo403"
"CladeC","CladeC","C_denovo404"
"CladeC","CladeC","C_denovo405"
"CladeC","CladeC","C_denovo406"
"CladeC","CladeC","C_denovo407"
"CladeC","CladeC","C_denovo408"
"CladeC","CladeC","C_denovo409"
"CladeC","CladeC","C_denovo41"
"CladeC","CladeC","C_denovo410"
"CladeC","CladeC","C_denovo411"
"CladeC","CladeC","C_denovo412"
"CladeC","CladeC","C_denovo413"
"CladeC","CladeC","C_denovo414"
"CladeC","CladeC","C_denovo415"
"CladeC","CladeC","C_denovo416"
"CladeC","CladeC","C_denovo417"
"CladeC","CladeC","C_denovo418"
"CladeC","CladeC","C_denovo419"
"CladeC","CladeC","C_denovo42"
"CladeC","CladeC","C_denovo420"
"CladeC","CladeC","C_denovo421"
"CladeC","CladeC","C_denovo422"
"CladeC","CladeC","C_denovo423"
"CladeC","CladeC","C_denovo424"
"CladeC","CladeC","C_denovo425"
"CladeC","CladeC","C_denovo426"
"CladeC","CladeC","C_denovo427"
"CladeC","CladeC","C_denovo428"
"CladeC","CladeC","C_denovo429"
"CladeC","CladeC","C_denovo43"
"CladeC","CladeC","C_denovo430"
"CladeC","CladeC","C_denovo431"
"CladeC","CladeC","C_denovo433"
"CladeC","CladeC","C_denovo434"
"CladeC","CladeC","C_denovo435"
"CladeC","CladeC","C_denovo436"
"CladeC","CladeC","C_denovo437"
"CladeC","CladeC","C_denovo438"
"CladeC","CladeC","C_denovo439"
"CladeC","CladeC","C_denovo44"
"CladeC","CladeC","C_denovo440"
"CladeC","CladeC","C_denovo442"
"CladeC","CladeC","C_denovo443"
"CladeC","CladeC","C_denovo444"
"CladeC","CladeC","C_denovo445"
"CladeC","CladeC","C_denovo446"
"CladeC","CladeC","C_denovo447"
"CladeC","CladeC","C_denovo448"
"CladeC","CladeC","C_denovo45"
"CladeC","CladeC","C_denovo450"
"CladeC","CladeC","C_denovo451"
"CladeC","CladeC","C_denovo452"
"CladeC","CladeC","C_denovo453"
"CladeC","CladeC","C_denovo454"
"CladeC","CladeC","C_denovo455"
"CladeC","CladeC","C_denovo456"
"CladeC","CladeC","C_denovo457"
"CladeC","CladeC","C_denovo458"
"CladeC","CladeC","C_denovo459"
"CladeC","CladeC","C_denovo46"
"CladeC","CladeC","C_denovo460"
"CladeC","CladeC","C_denovo461"
"CladeC","CladeC","C_denovo462"
"CladeC","CladeC","C_denovo463"
"CladeC","CladeC","C_denovo464"
"CladeC","CladeC","C_denovo465"
"CladeC","CladeC","C_denovo466"
"CladeC","CladeC","C_denovo467"
"CladeC","CladeC","C_denovo468"
"CladeC","CladeC","C_denovo469"
"CladeC","CladeC","C_denovo47"
"CladeC","CladeC","C_denovo470"
"CladeC","CladeC","C_denovo471"
"CladeC","CladeC","C_denovo472"
"CladeC","CladeC","C_denovo473"
"CladeC","CladeC","C_denovo474"
"CladeC","CladeC","C_denovo475"
"CladeC","CladeC","C_denovo476"
"CladeC","CladeC","C_denovo477"
"CladeC","CladeC","C_denovo478"
"CladeC","CladeC","C_denovo479"
"CladeC","CladeC","C_denovo48"
"CladeC","CladeC","C_denovo480"
"CladeC","CladeC","C_denovo481"
"CladeC","CladeC","C_denovo482"
"CladeC","CladeC","C_denovo483"
"CladeC","CladeC","C_denovo484"
"CladeC","CladeC","C_denovo485"
"CladeC","CladeC","C_denovo486"
"CladeC","CladeC","C_denovo487"
"CladeC","CladeC","C_denovo488"
"CladeC","CladeC","C_denovo489"
"CladeC","CladeC","C_denovo49"
"CladeC","CladeC","C_denovo490"
"CladeC","CladeC","C_denovo491"
"CladeC","CladeC","C_denovo492"
"CladeC","CladeC","C_denovo493"
"CladeC","CladeC","C_denovo494"
"CladeC","CladeC","C_denovo495"
"CladeC","CladeC","C_denovo496"
"CladeC","CladeC","C_denovo497"
"CladeC","CladeC","C_denovo498"
"CladeC","CladeC","C_denovo499"
"CladeC","CladeC","C_denovo5"
"CladeC","CladeC","C_denovo50"
"CladeC","CladeC","C_denovo500"
"CladeC","CladeC","C_denovo501"
"CladeC","CladeC","C_denovo502"
"CladeC","CladeC","C_denovo503"
"CladeC","CladeC","C_denovo504"
"CladeC","CladeC","C_denovo505"
"CladeC","CladeC","C_denovo506"
"CladeC","CladeC","C_denovo507"
"CladeC","CladeC","C_denovo508"
"CladeC","CladeC","C_denovo509"
"CladeC","CladeC","C_denovo51"
"CladeC","CladeC","C_denovo510"
"CladeC","CladeC","C_denovo511"
"CladeC","CladeC","C_denovo512"
"CladeC","CladeC","C_denovo513"
"CladeC","CladeC","C_denovo514"
"CladeC","CladeC","C_denovo515"
"CladeC","CladeC","C_denovo516"
"CladeC","CladeC","C_denovo517"
"CladeC","CladeC","C_denovo518"
"CladeC","CladeC","C_denovo519"
"CladeC","CladeC","C_denovo52"
"CladeC","CladeC","C_denovo520"
"CladeC","CladeC","C_denovo521"
"CladeC","CladeC","C_denovo522"
"CladeC","CladeC","C_denovo523"
"CladeC","CladeC","C_denovo524"
"CladeC","CladeC","C_denovo525"
"CladeC","CladeC","C_denovo526"
"CladeC","CladeC","C_denovo527"
"CladeC","CladeC","C_denovo528"
"CladeC","CladeC","C_denovo529"
"CladeC","CladeC","C_denovo53"
"CladeC","CladeC","C_denovo530"
"CladeC","CladeC","C_denovo531"
"CladeC","CladeC","C_denovo532"
"CladeC","CladeC","C_denovo533"
"CladeC","CladeC","C_denovo534"
"CladeC","CladeC","C_denovo535"
"CladeC","CladeC","C_denovo536"
"CladeC","CladeC","C_denovo537"
"CladeC","CladeC","C_denovo538"
"CladeC","CladeC","C_denovo539"
"CladeC","CladeC","C_denovo54"
"CladeC","CladeC","C_denovo540"
"CladeC","CladeC","C_denovo541"
"CladeC","CladeC","C_denovo542"
"CladeC","CladeC","C_denovo543"
"CladeC","CladeC","C_denovo544"
"CladeC","CladeC","C_denovo545"
"CladeC","CladeC","C_denovo546"
"CladeC","CladeC","C_denovo547"
"CladeC","CladeC","C_denovo548"
"CladeC","CladeC","C_denovo549"
"CladeC","CladeC","C_denovo55"
"CladeC","CladeC","C_denovo550"
"CladeC","CladeC","C_denovo551"
"CladeC","CladeC","C_denovo552"
"CladeC","CladeC","C_denovo553"
"CladeC","CladeC","C_denovo554"
"CladeC","CladeC","C_denovo555"
"CladeC","CladeC","C_denovo556"
"CladeC","CladeC","C_denovo557"
"CladeC","CladeC","C_denovo558"
"CladeC","CladeC","C_denovo559"
"CladeC","CladeC","C_denovo56"
"CladeC","CladeC","C_denovo560"
"CladeC","CladeC","C_denovo561"
"CladeC","CladeC","C_denovo562"
"CladeC","CladeC","C_denovo563"
"CladeC","CladeC","C_denovo564"
"CladeC","CladeC","C_denovo565"
"CladeC","CladeC","C_denovo566"
"CladeC","CladeC","C_denovo567"
"CladeC","CladeC","C_denovo568"
"CladeC","CladeC","C_denovo57"
"CladeC","CladeC","C_denovo570"
"CladeC","CladeC","C_denovo571"
"CladeC","CladeC","C_denovo572"
"CladeC","CladeC","C_denovo573"
"CladeC","CladeC","C_denovo574"
"CladeC","CladeC","C_denovo575"
"CladeC","CladeC","C_denovo576"
"CladeC","CladeC","C_denovo577"
"CladeC","CladeC","C_denovo578"
"CladeC","CladeC","C_denovo579"
"CladeC","CladeC","C_denovo58"
"CladeC","CladeC","C_denovo581"
"CladeC","CladeC","C_denovo582"
"CladeC","CladeC","C_denovo583"
"CladeC","CladeC","C_denovo584"
"CladeC","CladeC","C_denovo585"
"CladeC","CladeC","C_denovo587"
"CladeC","CladeC","C_denovo588"
"CladeC","CladeC","C_denovo589"
"CladeC","CladeC","C_denovo59"
"CladeC","CladeC","C_denovo590"
"CladeC","CladeC","C_denovo591"
"CladeC","CladeC","C_denovo592"
"CladeC","CladeC","C_denovo593"
"CladeC","CladeC","C_denovo594"
"CladeC","CladeC","C_denovo595"
"CladeC","CladeC","C_denovo596"
"CladeC","CladeC","C_denovo597"
"CladeC","CladeC","C_denovo598"
"CladeC","CladeC","C_denovo599"
"CladeC","CladeC","C_denovo6"
"CladeC","CladeC","C_denovo60"
"CladeC","CladeC","C_denovo600"
"CladeC","CladeC","C_denovo601"
"CladeC","CladeC","C_denovo602"
"CladeC","CladeC","C_denovo603"
"CladeC","CladeC","C_denovo604"
"CladeC","CladeC","C_denovo605"
"CladeC","CladeC","C_denovo606"
"CladeC","CladeC","C_denovo607"
"CladeC","CladeC","C_denovo608"
